ltot		l1		l2		l3		dtof	dlambda		dtof1ord	dMterm	dSterm	dXterm	dDterm
 5384.591174    5002.754125     199.622686     182.214362   -1.657116e-002   -6.482374e-003   2.356538e-009   0.000000e+000   1.363251e-009   -8.536795e-010   1.846967e-009
 5381.555691    5005.133701     197.852577     178.569413   -7.310034e-005   -1.790358e-003   9.091079e-010   0.000000e+000   2.169848e-009   5.572674e-011   -1.316467e-009
 5382.723002    5000.577697     201.998676     180.146628   2.322189e-003   -2.952999e-003   -1.641854e-010   0.000000e+000   1.597951e-009   -1.154906e-009   -6.072301e-010
 5377.242230    5000.140834     197.954963     179.146433   9.167478e-004   3.234222e-003   2.125731e-010   0.000000e+000   -1.371146e-009   1.056369e-009   5.273498e-010
 5378.767617    5001.419894     196.594508     180.753214   -5.812568e-003   9.872483e-004   1.143629e-009   0.000000e+000   -1.210029e-009   7.379128e-010   1.615745e-009
 5371.235468    5000.407247     195.489264     175.338957   4.249092e-003   1.038862e-002   -1.146442e-009   0.000000e+000   -2.525616e-009   1.274978e-009   1.041955e-010
 5381.075576    4998.773958     200.271921     182.029698   1.334698e-005   -1.233235e-003   1.003081e-009   0.000000e+000   -5.332953e-010   -5.979180e-011   1.596168e-009
 5377.560784    5005.258332     197.001437     175.301015   2.074226e-003   2.953403e-003   1.152746e-009   0.000000e+000   1.325110e-009   1.847728e-010   -3.571373e-010
 5386.917044    5002.401762     200.078374     184.436908   -5.088974e-004   -7.966023e-003   2.953718e-009   0.000000e+000   1.745933e-009   4.660143e-010   7.417709e-010
 5377.977131    5000.867821     200.909423     176.199887   -4.965216e-003   1.957323e-003   1.313412e-009   0.000000e+000   1.148480e-009   1.300473e-010   3.488475e-011
 5387.115509    4997.720668     204.931646     184.463195   3.478189e-004   -8.130297e-003   2.210119e-009   0.000000e+000   1.361094e-009   5.631243e-011   7.927133e-010
 5372.963362    4998.536889     199.625420     174.801052   3.490162e-004   8.112379e-003   -1.616538e-009   0.000000e+000   -1.168944e-009   -8.940078e-011   -3.581923e-010
 5380.154634    5004.085815     199.379920     176.688898   8.866697e-003   4.744979e-004   -2.593905e-010   0.000000e+000   2.129963e-009   -5.787039e-010   -1.810650e-009
 5385.887800    4997.542502     203.744534     184.600764   -8.010616e-004   -6.809010e-003   -8.122714e-010   0.000000e+000   6.362177e-010   -1.146878e-009   -3.016110e-010
 5378.013553    5003.964583     198.226040     175.822930   -9.657147e-003   1.570357e-003   1.559705e-009   0.000000e+000   1.699083e-009   2.131172e-010   -3.524950e-010
 5381.412843    4997.739743     204.970082     178.703017   4.479342e-003   -1.291835e-003   2.058617e-009   0.000000e+000   1.249666e-009   3.370287e-010   4.719221e-010
 5377.402397    5002.590761     196.477477     178.334159   -3.859701e-003   2.698817e-003   -1.235052e-010   0.000000e+000   -6.098718e-010   1.866398e-009   -1.380031e-009
 5386.650128    5000.183102     204.257616     182.209410   -7.179395e-004   -7.675802e-003   1.823849e-009   0.000000e+000   2.737412e-009   2.957909e-011   -9.431413e-010
 5382.499586    4994.801835     204.101320     183.596431   -3.079515e-004   -2.890132e-003   -9.144848e-010   0.000000e+000   -9.781683e-010   -1.029009e-009   1.092692e-009
 5375.573174    4995.986239     201.351545     178.235390   2.935345e-003   5.300970e-003   -5.924160e-010   0.000000e+000   -1.991859e-009   8.773345e-010   5.221086e-010
 5382.793709    5000.728633     202.190436     179.874640   -1.340535e-002   -4.189951e-003   1.474595e-009   0.000000e+000   1.941710e-009   -1.421670e-009   9.545554e-010
 5382.700022    5002.580826     196.358657     183.760540   1.193089e-003   -3.009634e-003   -3.194765e-010   0.000000e+000   -4.173912e-010   -1.175634e-009   1.273549e-009
 5382.170673    5000.157078     200.066469     181.947125   -9.389919e-004   -2.559343e-003   9.453245e-010   0.000000e+000   -2.952843e-011   9.494241e-010   2.542886e-011
 5381.959314    5000.206861     199.245201     182.507251   4.983875e-003   -1.881587e-003   -2.221955e-009   0.000000e+000   -1.160581e-010   -1.635387e-009   -4.705097e-010
 5378.200035    4995.706624     203.928872     178.564538   -7.349203e-003   1.525967e-003   -1.460753e-009   0.000000e+000   -6.223672e-010   1.521911e-010   -9.905773e-010
 5380.016225    5005.372802     197.682400     176.961022   -1.368868e-002   -1.025178e-003   2.110843e-009   0.000000e+000   1.890626e-009   -2.956525e-010   5.158693e-010
 5377.705091    4998.843187     199.429742     179.432162   -3.471625e-003   2.379656e-003   -5.233158e-010   0.000000e+000   -1.269951e-009   1.349465e-009   -6.028293e-010
 5382.181024    5002.941457     199.405685     179.833883   -4.784624e-003   -2.853877e-003   4.027129e-009   0.000000e+000   1.223273e-009   2.063989e-009   7.398674e-010
 5382.778768    5000.814757     201.856307     180.107703   -2.234367e-003   -3.351820e-003   1.833171e-009   0.000000e+000   1.505913e-009   -1.869839e-010   5.142423e-010
 5374.153024    4996.026680     200.686784     177.439560   -2.339025e-003   6.545824e-003   -2.753590e-009   0.000000e+000   -2.072651e-009   -3.143644e-010   -3.665745e-010
 5379.391631    4998.407520     199.124756     181.859355   -7.426644e-003   1.521581e-004   -2.796330e-009   0.000000e+000   -1.406938e-009   -2.846496e-010   -1.104743e-009
 5380.026405    4997.514882     202.712401     179.799122   6.771549e-004   1.948648e-005   1.825654e-009   0.000000e+000   -1.027558e-011   7.137237e-010   1.122206e-009
 5373.135791    4999.571953     199.854377     173.709462   3.576596e-003   8.151599e-003   1.688745e-010   0.000000e+000   -4.818171e-010   6.167038e-010   3.398780e-011
 5380.626848    4999.272696     204.606185     176.747967   6.558440e-003   -2.371629e-004   1.570160e-009   0.000000e+000   2.080197e-009   1.394707e-010   -6.495080e-010
